順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
331,ソヴィエトスター,  0-  1-  0-  5/  6,0.0%,16.7%,16.7%,0,43,0.0,9.3着,10.3人気,115.6,,260,0,0.0%,16.7%,0.0%,116.55,12.95,55.60
332,スターリングローズ,  0-  1-  0-  5/  6,0.0%,16.7%,16.7%,0,33,0.0,11.0着,9.2人気,94.4,,200,0,0.0%,16.7%,0.0%,113.75,12.64,56.97
333,サンシヤインボーイ,  0-  1-  0-  5/  6,0.0%,16.7%,16.7%,0,20,0.0,7.8着,7.5人気,45.2,,120,0,0.0%,16.7%,0.0%,116.45,12.94,55.65
334,エブロス,  0-  1-  0-  5/  6,0.0%,16.7%,16.7%,0,53,0.0,8.7着,9.5人気,51.4,,320,0,0.0%,16.7%,0.0%,114.97,12.77,56.36
335,ロジンスキー,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,24,0.0,8.6着,6.2人気,22.9,,120,0,0.0%,20.0%,0.0%,115.38,12.82,56.16
336,ポリッシュネイビー,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,28,0.0,8.6着,7.8人気,83.0,,140,0,0.0%,20.0%,0.0%,116.23,12.91,55.75
337,テユデナム,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,40,0.0,7.6着,6.8人気,55.3,,200,0,0.0%,20.0%,0.0%,116.58,12.95,55.58
338,サマーバード,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,28,0.0,9.4着,10.2人気,101.7,,140,0,0.0%,20.0%,0.0%,113.78,12.64,56.95
339,サテインゴ,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,38,0.0,7.6着,7.8人気,32.4,,190,0,0.0%,20.0%,0.0%,116.14,12.90,55.79
340,ノーパスノーセール,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,27,0.0,6.8着,9.0人気,60.1,,110,0,0.0%,25.0%,0.0%,115.43,12.83,56.14
341,タバスコキャット,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,57,0.0,6.3着,7.5人気,34.3,,230,0,0.0%,25.0%,0.0%,113.50,12.61,57.09
342,クロコルージュ,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,217,0.0,7.5着,10.3人気,169.0,,870,0,0.0%,25.0%,0.0%,116.38,12.93,55.68
343,"Seeking the Gold",  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,30,0.0,7.3着,3.3人気,7.8,,120,0,0.0%,25.0%,0.0%,113.43,12.60,57.13
344,レジエンドテイオー,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,50,0.0,6.7着,6.0人気,44.2,,150,0,0.0%,33.3%,0.0%,115.63,12.85,56.04
345,メイショウホムラ,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,46,0.0,6.7着,5.7人気,16.7,,140,0,0.0%,33.3%,0.0%,113.77,12.64,56.96
346,ドン,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,80,0.0,6.3着,6.7人気,31.1,,240,0,0.0%,33.3%,0.0%,113.97,12.66,56.86
347,テンパレートシル,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,236,0.0,7.3着,10.3人気,44.7,,710,0,0.0%,33.3%,0.0%,113.77,12.64,56.96
348,"Known Fact",  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,56,0.0,10.0着,8.3人気,35.0,,170,0,0.0%,33.3%,0.0%,115.00,12.78,56.35
349,リマンド,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,65,0.0,5.0着,3.5人気,11.7,,130,0,0.0%,50.0%,0.0%,115.95,12.88,55.89
