順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
323,トウカイテイオー, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,11.5着,12.5人気,132.6,,,0,0.0%,0.0%,0.0%,72.35,12.06,59.71
324,テンパレートシル, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,9.5着,6.5人気,32.6,,,0,0.0%,0.0%,0.0%,74.70,12.45,57.83
325,デュランダル, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,9.5着,9.0人気,25.9,,,0,0.0%,0.0%,0.0%,71.80,11.97,60.17
326,タートルボウル, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,7.0着,8.0人気,113.3,,,0,0.0%,0.0%,0.0%,72.70,12.12,59.42
327,ソウルオブザマター, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,14.5着,11.5人気,135.6,,,0,0.0%,0.0%,0.0%,71.85,11.98,60.13
328,スクワートルスクワート, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,11.5着,13.0人気,68.6,,,0,0.0%,0.0%,0.0%,72.05,12.01,59.96
329,シンウルフ, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,12.0着,12.5人気,55.9,,,0,0.0%,0.0%,0.0%,72.85,12.14,59.30
330,シリウスシンボリ, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,9.0着,12.0人気,112.4,,,0,0.0%,0.0%,0.0%,72.25,12.04,59.79
331,ジャイアントレッカー, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.5着,10.0人気,48.4,,,0,0.0%,0.0%,0.0%,71.85,11.98,60.13
332,シニスターミニスター, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.0着,12.5人気,111.8,,,0,0.0%,0.0%,0.0%,71.60,11.93,60.34
333,サンシャック, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,12.5着,7.0人気,25.9,,,0,0.0%,0.0%,0.0%,72.35,12.06,59.71
334,コロナドズクエスト, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,8.5着,7.5人気,23.4,,,0,0.0%,0.0%,0.0%,71.25,11.88,60.63
335,ゴールデンゼウス, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,9.5着,6.0人気,19.7,,,0,0.0%,0.0%,0.0%,73.95,12.33,58.42
336,コインドシルバー, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.5着,9.5人気,42.1,,,0,0.0%,0.0%,0.0%,73.65,12.28,58.66
337,ケイムホーム, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.0着,5.0人気,54.3,,,0,0.0%,0.0%,0.0%,74.15,12.36,58.26
338,クリスタルグリツターズ, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,12.5着,9.0人気,39.7,,,0,0.0%,0.0%,0.0%,72.70,12.12,59.42
339,オレハマッテルゼ, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,13.0着,12.5人気,79.0,,,0,0.0%,0.0%,0.0%,71.40,11.90,60.50
340,エスポワールシチー, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,13.0着,13.5人気,198.8,,,0,0.0%,0.0%,0.0%,71.85,11.98,60.13
341,ウインドストース, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.0着,13.5人気,84.1,,,0,0.0%,0.0%,0.0%,72.45,12.08,59.63
342,イシノサンデー, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.0着,12.5人気,167.4,,,0,0.0%,0.0%,0.0%,73.40,12.23,58.86
343,アメリカンボス, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.5着,9.0人気,63.4,,,0,0.0%,0.0%,0.0%,74.15,12.36,58.26
344,アドマイヤジャパン, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,7.0着,2.5人気,6.5,,,0,0.0%,0.0%,0.0%,71.75,11.96,60.21
345,アイルハヴアナザー, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.5着,12.0人気,202.2,,,0,0.0%,0.0%,0.0%,71.55,11.93,60.38
346,"Palace Music", 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,8.5着,11.0人気,189.2,,,0,0.0%,0.0%,0.0%,72.70,12.12,59.42
347,"Malibu Moon", 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,14.5着,10.5人気,63.6,,,0,0.0%,0.0%,0.0%,72.30,12.05,59.75
348,"Lear Fan", 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,12.0着,9.5人気,46.5,,,0,0.0%,0.0%,0.0%,72.25,12.04,59.79
349,"Indian Ridge", 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,8.0着,7.0人気,41.3,,,0,0.0%,0.0%,0.0%,71.45,11.91,60.46
350,"Holy Bull", 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.5着,7.5人気,17.7,,,0,0.0%,0.0%,0.0%,73.20,12.20,59.02
351,"Green Desert", 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.5着,11.0人気,87.3,,,0,0.0%,0.0%,0.0%,71.80,11.97,60.17
352,Dayjur, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,11.0着,5.0人気,14.1,,,0,0.0%,0.0%,0.0%,73.00,12.17,59.18
